Month,Monthly rate of inflation in Belgium 2018-2023,Unnamed: 2
Jan '18,1.8,in %
Feb '18,1.5,in %
Mar '18,1.5,in %
Apr '18,1.6,in %
May '18,2.3,in %
Jun '18,2.6,in %
Jul '18,2.7,in %
Aug '18,2.6,in %
Sep '18,2.8,in %
Oct '18,3.2,in %
Nov '18,2.9,in %
Dec '18,2.2,in %
Jan '19,1.8,in %
Feb '19,2.0,in %
Mar '19,2.2,in %
Apr '19,2.0,in %
May '19,1.7,in %
Jun '19,1.3,in %
Jul '19,1.2,in %
Aug '19,0.9,in %
Sep '19,0.6,in %
Nov '19,0.2,in %
Dec '19,0.4,in %
Jan '20,1.4,in %
Feb '20,1.0,in %
Mar '20,0.4,in %
Apr '20,0.0,in %
May '20,-0.2,in %
Jun '20,0.2,in %
Jul '20,1.7,in %
Aug '20,-0.9,in %
Sep '20,0.5,in %
Oct '20,0.4,in %
Nov '20,0.2,in %
Dec '20,0.4,in %
Jan '21,0.6,in %
Feb '21,0.3,in %
Mar '21,1.6,in %
Apr '21,2.1,in %
May '21,2.5,in %
Jun '21,2.6,in %
Jul '21,1.4,in %
Aug '21,4.7,in %
Sep '21,3.8,in %
Oct '21,5.4,in %
Nov '21,7.1,in %
Dec '21,6.6,in %
Jan '22,8.5,in %
Feb '22,9.5,in %
Mar '22,9.3,in %
Apr '22,9.3,in %
May '22,9.9,in %
Jun '22,10.5,in %
Jul '22,10.4,in %
Aug '22,10.5,in %
Sep '22,12.1,in %
Oct '22,13.1,in %
Nov '22,10.5,in %
Dec '22,10.2,in %
Jan '23,7.4,in %
Feb '23,5.4,in %
Mar '23,4.9,in %
Apr '23,3.3,in %
May '23,2.7,in %
Jun '23,1.6,in %
Jul '23,1.7,in %
Aug '23,2.4,in %
Sep '23,0.7,in %
