Month,HICP_France_2018-2023
Jan 18,102.06
Feb 18,102.05
Mar 18,103.22
Apr 18,103.43
May 18,103.92
Jun 18,103.93
Jul 18,103.8
Aug 18,104.35
Sep 18,104.12
Oct 18,104.24
Nov 18,104.0
Dec 18,104.1
Jan 19,103.52
Feb 19,103.64
Mar 19,104.55
Apr 19,104.93
May 19,105.06
Jun 19,105.35
Jul 19,105.11
Aug 19,105.67
Sept 19,105.28
Oct 19,105.2
Nov 19,105.27
Dec 19,105.78
Jan 20,105.24
Feb 20,105.27
Mar 20,105.34
Apr 20,105.32
May 20,105.49
Jun 20,105.58
Jul 20,106.01
Aug 20,105.89
Sept 20,105.3
Oct 20,105.27
Nov 20,105.5
Dec 20,105.75
Jan 21,106.03
Feb 21,106.07
Mar 21,106.8
Apr 21,107.02
May 21,107.38
Jun 21,107.57
Jul 21,107.64
Aug 21,108.38
Sep 21,108.16
Oct 21,108.64
Nov 21,109.09
Dec 21,109.34
Jan 22,109.51
Feb 22,110.49
Mar 22,112.26
Apr 22,112.78
May 22,113.63
Jun 22,114.6
Jul 22,114.94
Aug 22,115.49
Sep 22,114.9
Oct 22,116.32
Nov 22,116.81
Dec 22,116.7
Jan 23,117.22
Feb 23,118.55
Mar 23,119.76
Apr 23,120.55
May 23,120.46
Jun 23,120.71
Jul 23,120.77
Aug 23,122.1
Sep 23,121.4
Oct 23,121.61
