Month,Monthly harmonized consumer price index in Hungary 2020-2023
Jan 2020,111.92
Feb 2020,112.22
Mar 2020,112.48
Apr 2020,111.95
May 2020,112.45
Jun 2020,112.92
Jul 2020,114.25
Aug 2020,114.24
Sep 2020,113.7
Oct 2020,113.91
Nov 2020,113.72
Dec 2020,114.08
Jan 2021,115.12
Feb 2021,115.94
Mar 2021,116.83
Apr 2021,117.75
May 2021,118.4
Jun 2021,118.93
Jul 2021,119.59
Aug 2021,119.86
Sep 2021,120.01
Oct 2021,121.38
Nov 2021,122.2
Dec 2021,122.51
Jan 2022,124.26
Feb 2022,125.64
Mar 2022,126.9
Apr 2022,129.03
May 2022,131.24
Jun 2022,133.9
Jul 2022,137.14
Aug 2022,142.19
Sep 2022,144.82
Oct 2022,147.91
Nov 2022,150.48
Dec 2022,153.14
Jan 2023,156.81
Feb 2023,158.08
Mar 2023,159.42
Apr 2023,160.57
May 2023,159.99
Jun 2023,160.55
Jul 2023,161.12
