Month,Monthly harmonized consumer price index in Romania 2020-2023
Jan 2020,110.09
Feb 2020,110.05
Mar 2020,110.47
Apr 2020,110.76
May 2020,110.77
Jun 2020,110.78
Jul 2020,110.95
Aug 2020,110.93
Sep 2020,110.53
Oct 2020,110.67
Nov 2020,110.7
Dec 2020,111.32
Jan 2021,112.29
Feb 2021,112.76
Mar 2021,113.23
Apr 2021,113.7
May 2021,114.34
Jun 2021,114.62
Jul 2021,115.15
Aug 2021,115.35
Sep 2021,116.31
Oct 2021,117.85
Nov 2021,118.15
Dec 2021,118.76
Jan 2022,120.42
Feb 2022,121.68
Mar 2022,124.05
Apr 2022,127.0
May 2022,128.55
Jun 2022,129.55
Jul 2022,130.14
Aug 2022,130.72
Sep 2022,131.94
Oct 2022,133.72
Nov 2022,135.39
Dec 2022,135.55
Jan 2023,136.61
Feb 2023,137.95
Mar 2023,139.13
Apr 2023,140.21
May 2023,140.89
Jun 2023,141.55
Jul 2023,141.76
