Month,"Energy price inflation rate in Bulgaria 2019-2023, by commodity","Gas price inflation rate in Bulgaria 2019-2023, by commodity","Electricity price inflation rate in Bulgaria 2019-2023, by commodity",Unnamed: 4
Jan '19,0.4,13.2,2.0,in %
Feb '19,1.7,12.9,2.0,in %
Mar '19,4.4,13.1,2.0,in %
Apr '19,4.8,12.5,2.0,in %
May '19,3.9,12.3,2.0,in %
Jun '19,1.2,12.2,2.0,in %
Jul '19,0.6,7.1,2.9,in %
Aug '19,0.1,6.5,2.9,in %
Sep '19,-0.8,6.0,2.9,in %
Oct '19,-2.6,-0.4,2.9,in %
Nov '19,-0.5,-0.4,2.9,in %
Dec '19,3.7,-0.1,2.9,in %
Jan '20,5.8,-0.8,2.9,in %
Feb '20,4.1,0.0,2.9,in %
Mar '20,-0.1,-0.3,2.9,in %
Apr '20,-8.3,-19.5,2.9,in %
May '20,-11.5,-22.6,2.9,in %
Jun '20,-11.3,-24.7,2.9,in %
Jul '20,-9.4,-25.8,2.8,in %
Aug '20,-8.3,-25.8,2.8,in %
Sep '20,-8.2,-21.8,2.8,in %
Oct '20,-8.5,-18.8,2.8,in %
Nov '20,-8.3,-15.4,2.8,in %
Dec '20,-8.2,-16.0,2.8,in %
Jan '21,-7.4,-16.8,2.8,in %
Feb '21,-5.6,-13.1,2.8,in %
Mar '21,-1.2,-14.3,2.8,in %
Apr '21,8.6,12.9,2.8,in %
May '21,11.1,23.6,2.8,in %
Jun '21,12.2,37.6,2.8,in %
Jul '21,13.6,47.2,4.4,in %
Aug '21,15.0,60.6,4.4,in %
Sep '21,16.0,68.0,4.4,in %
Oct '21,20.9,98.2,4.4,in %
Nov '21,24.0,89.3,4.4,in %
Dec '21,24.1,102.7,4.4,in %
Jan '22,24.7,146.9,4.4,in %
Feb '22,23.0,105.9,4.4,in %
Mar '22,27.8,117.4,4.4,in %
Apr '22,30.0,138.2,4.4,in %
May '22,34.1,148.6,4.4,in %
Jun '22,37.5,107.6,4.4,in %
Jul '22,34.1,124.1,3.4,in %
Aug '22,32.0,197.9,3.4,in %
Sep'22,32.1,212.1,3.4,in %
Oct'22,22.1,81.5,3.4,in %
Nov'22,15.2,14.2,3.4,in %
Dec'22,12.7,20.7,3.4,in %
Jan'23,13.5,16.2,3.4,in %
Feb'23,11.6,3.9,3.4,in %
Mar'23,3.8,-8.8,3.4,in %
Apr'23,-0.7,-25.3,3.4,in %
May'23,-5.7,-40.9,3.4,in %
