Month,Monthly HICP for energy in Italy 2019-2023
Jan '19,106.7
Feb '19,107.1
Mar '19,108.1
Apr '19,105.2
May '19,105.8
Jun '19,105.2
Jul '19,103.2
Aug '19,103.0
Sep '19,102.5
Oct '19,104.2
Nov '19,104.1
Dec '19,104.4
Jan '20,104.5
Feb '20,103.5
Mar '20,101.9
Apr '20,94.8
May '20,91.9
Jun '20,92.1
Jul '20,92.3
Aug '20,92.4
Sep '20,92.1
Oct '20,94.9
Nov '20,94.9
Dec '20,96.1
Jan '21,99.2
Feb '21,100.2
Mar '21,102.2
Apr '21,104.1
May '21,104.9
Jun '21,105.4
Jul '21,109.7
Aug '21,110.9
Sep '21,111.0
Oct '21,118.9
Nov '21,124.5
Dec '21,124.5
Jan '22,138.0
Feb '22,146.8
Mar '22,154.8
Apr '22,145.7
May '22,149.9
Jun '22,157.2
Jul '22,157.3
Aug '22,161.2
Sep'22,160.9
Oct'22,204.2
Nov'22,209.3
Dec'22,205.6
Jan'23,197.0
Feb'23,188.2
Mar '23,171.4
Apr '23,170.1
May '23,167.8
